src	tgt
yson padi mahe ei-ne	Y Sơn đã cho cây lúa mới
krao bok-tao liem hlao	con trâu tìm những người thầy đẹp
krao krao bar tuk	con trâu mang hai con trâu
mi hina poh hmang	người mẹ thấy năm con cá
yson ako liem gu-ma	Y Sơn không bắt con chó đẹp
krao pa bar liem hmang	con trâu thấy hai người cha đẹp
miu pa ntik hmang	con mèo thấy người cha nhỏ
mi kon puon hlao	người mẹ tìm bốn đứa trẻ
plei kata-tao tuk-ne	bản làng đã mang những con gà
pa padi pei hmang	người cha thấy ba cây lúa
mi kata bar hlao	người mẹ tìm hai con gà
padi padi hmang-ne-ma	cây lúa đã không thấy cây lúa
bnam kata-tao ngui-ne	ngọn núi đã làm những con gà
miu kon tec	con mèo bán đứa trẻ
pa brah bar om-ne-ma	người cha đã không nấu hai khu rừng
kata bok poh ngui	con gà làm năm người thầy
hling kata liem gu-ne	H'Linh đã bắt con gà đẹp
mi hina bar hlao	người mẹ tìm hai con cá
krao ako poh om-ne-ma	con trâu đã không nấu năm con chó
bnam kon-tao gu	ngọn núi bắt những đứa trẻ
yson rong cha-ne	Y Sơn đã ăn cái nhà
kata dak hmang	con gà thấy dòng sông
krao miu-tao hmang	con trâu thấy những con mèo
miu pa-tao om	con mèo nấu những người cha
yson pang ei-ne	Y Sơn đã cho cái nồi
mi plei krah gu	người mẹ bắt bản làng cũ
plei miu hmang-ne	bản làng đã thấy con mèo
ako pang-tao ntik ngui	con chó làm những cái nồi nhỏ
padi bok bar prong tec	cây lúa bán hai người thầy to
ako mi prong ei-ne	con chó đã cho người mẹ to
pa bnam hmang-ma	người cha không thấy ngọn núi
mi pa prong cha-ne	người mẹ đã ăn người cha to
hina brah-tao mahe ngui-ne	con cá đã làm những khu rừng mới
kata krao prong tec	con gà bán con trâu to
rong pang bar prong ngui	cái nhà làm hai cái nồi to
yson dak liem om-ne-ma	Y Sơn đã không nấu dòng sông đẹp
ako mi liem gu	con chó bắt người mẹ đẹp
yson hina-tao krah tuk-ne-ma	Y Sơn đã không mang những con cá cũ
bok brah-tao prong cha-ne	người thầy đã ăn những khu rừng to
hina krao ntik nhu	con cá uống con trâu nhỏ
pa bok om-ne	người cha đã nấu người thầy
ykrong bnam puon liem cha	Y Krông ăn bốn ngọn núi đẹp
mi brah-tao gu	người mẹ bắt những khu rừng
rong kata hmang-ne	cái nhà đã thấy con gà
pa ako hlao-ne	người cha đã tìm con chó
bnam hina om-ne	ngọn núi đã nấu con cá
miu ako-tao ngui-ma	con mèo không làm những con chó
dak plei prong cha-ne-ma	dòng sông đã không ăn bản làng to
hrin dak puon prong gu	H'Rin bắt bốn dòng sông to
pa kon-tao ei-ne	người cha đã cho những đứa trẻ
pa rong om	người cha nấu cái nhà
brah pa pei krah tuk	khu rừng mang ba người cha cũ
rong miu puon ntik gu	cái nhà bắt bốn con mèo nhỏ
yson rong liem ngui-ne	Y Sơn đã làm cái nhà đẹp
bnam brah puon krah om-ne-ma	ngọn núi đã không nấu bốn khu rừng cũ
padi pang puon ngui-ne	cây lúa đã làm bốn cái nồi
yson mi-tao tec-ne	Y Sơn đã bán những người mẹ
krao bnam hmang	con trâu thấy ngọn núi
mi rong tec-ne	người mẹ đã bán cái nhà
miu miu ei-ma	con mèo không cho con mèo
rong mi-tao krah ngui	cái nhà làm những người mẹ cũ
plei brah ei-ne	bản làng đã cho khu rừng
ako bok-tao ngui-ma	con chó không làm những người thầy
yson bok-tao tec	Y Sơn bán những người thầy
brah ako tuk	khu rừng mang con chó
kata bnam prong ei-ma	con gà không cho ngọn núi to
kon hina hmang-ne	đứa trẻ đã thấy con cá
ako padi krah tuk-ne	con chó đã mang cây lúa cũ
krao padi-tao prong tuk-ne-ma	con trâu đã không mang những cây lúa to
mi dak-tao liem hmang-ma	người mẹ không thấy những dòng sông đẹp
hnga miu-tao ntik gu	H'Nga bắt những con mèo nhỏ
pang bok-tao ntik tuk	cái nồi mang những người thầy nhỏ
pa dak mahe hmang	người cha thấy dòng sông mới
pang kon hmang-ne	cái nồi đã thấy đứa trẻ
ykrong pang ei-ne	Y Krông đã cho cái nồi
bok bnam-tao ei-ne-ma	người thầy đã không cho những ngọn núi
hina bnam liem om-ma	con cá không nấu ngọn núi đẹp
hrin ako gu	H'Rin bắt con chó
brah mi-tao mahe ngui	khu rừng làm những người mẹ mới
pang mi krah gu-ma	cái nồi không bắt người mẹ cũ
hrin dak liem nhu-ma	H'Rin không uống dòng sông đẹp
ykrong bok-tao cha	Y Krông ăn những người thầy
mi hina-tao gu	người mẹ bắt những con cá
bnam hina-tao hlao-ne-ma	ngọn núi đã không tìm những con cá
yson ako gu-ne	Y Sơn đã bắt con chó
krao krao-tao ntik ngui	con trâu làm những con trâu nhỏ
hling pa prong cha	H'Linh ăn người cha to
padi miu-tao liem hlao	cây lúa tìm những con mèo đẹp
bok rong puon cha-ma	người thầy không ăn bốn cái nhà
pa mi hmang	người cha thấy người mẹ
yson kata nhu-ne	Y Sơn đã uống con gà
bnam dak bar ei	ngọn núi cho hai dòng sông
dak mi om	dòng sông nấu người mẹ
hrin miu dua tuk-ma	H'Rin không mang một con mèo
pang miu om-ne	cái nồi đã nấu con mèo
bnam kata nhu	ngọn núi uống con gà
padi bnam puon om	cây lúa nấu bốn ngọn núi
pa dak prong tuk	người cha mang dòng sông to
hling dak-tao hmang-ne	H'Linh đã thấy những dòng sông
hrin padi-tao hlao	H'Rin tìm những cây lúa
miu miu nhu	con mèo uống con mèo
ako bnam tuk	con chó mang ngọn núi
pang ako ntik ei-ne	cái nồi đã cho con chó nhỏ
yson miu om	Y Sơn nấu con mèo
kata bok hmang	con gà thấy người thầy
ykrong ako bar hlao-ne	Y Krông đã tìm hai con chó
kata bnam dua cha-ne	con gà đã ăn một ngọn núi
brah padi krah tec	khu rừng bán cây lúa cũ
bok mi-tao ei	người thầy cho những người mẹ
kon mi-tao ei	đứa trẻ cho những người mẹ
padi pa dua nhu-ne	cây lúa đã uống một người cha
brah mi-tao hlao-ne	khu rừng đã tìm những người mẹ
ako mi bar ei-ne-ma	con chó đã không cho hai người mẹ
bnam hina liem cha-ne	ngọn núi đã ăn con cá đẹp
brah pa-tao nhu	khu rừng uống những người cha
yson kon tec	Y Sơn bán đứa trẻ
plei rong bar hmang	bản làng thấy hai cái nhà
hling ako om-ne	H'Linh đã nấu con chó
pang rong prong gu-ma	cái nồi không bắt cái nhà to
hling bnam bar ntik tuk-ne	H'Linh đã mang hai ngọn núi nhỏ
ykrong miu liem gu-ne	Y Krông đã bắt con mèo đẹp
ako brah puon ntik tec	con chó bán bốn khu rừng nhỏ
bok bok dua ntik hlao	người thầy tìm một người thầy nhỏ
plei miu om	bản làng nấu con mèo
hina padi-tao hmang	con cá thấy những cây lúa
pa bnam tec-ne	người cha đã bán ngọn núi
hling kon dua cha-ma	H'Linh không ăn một đứa trẻ
krao bnam pei nhu-ma	con trâu không uống ba ngọn núi
mi ako om	người mẹ nấu con chó
bnam pa-tao mahe om-ma	ngọn núi không nấu những người cha mới
ykrong bok liem ei	Y Krông cho người thầy đẹp
mi pa hlao-ma	người mẹ không tìm người cha
kon padi pei prong gu-ne-ma	đứa trẻ đã không bắt ba cây lúa to
miu bnam liem om-ne	con mèo đã nấu ngọn núi đẹp
hling miu krah ngui-ne	H'Linh đã làm con mèo cũ
ako mi mahe nhu-ma	con chó không uống người mẹ mới
brah dak nhu-ne-ma	khu rừng đã không uống dòng sông
ykrong kata om-ne-ma	Y Krông đã không nấu con gà
mi mi-tao nhu-ne	người mẹ đã uống những người mẹ
mi dak hmang-ne	người mẹ đã thấy dòng sông
hrin bnam-tao liem cha	H'Rin ăn những ngọn núi đẹp
pa mi hmang-ma	người cha không thấy người mẹ
padi miu cha-ne	cây lúa đã ăn con mèo
bok ako bar cha	người thầy ăn hai con chó
ako dak-tao tuk	con chó mang những dòng sông
miu kon pei gu	con mèo bắt ba đứa trẻ
pa kata tuk	người cha mang con gà
dak krao cha-ma	dòng sông không ăn con trâu
pang rong tec	cái nồi bán cái nhà
kon dak-tao tec-ne	đứa trẻ đã bán những dòng sông
miu kon hmang	con mèo thấy đứa trẻ
kon pang-tao hmang-ne	đứa trẻ đã thấy những cái nồi
miu dak nhu	con mèo uống dòng sông
miu mi hlao-ne	con mèo đã tìm người mẹ
brah plei poh hlao-ma	khu rừng không tìm năm bản làng
kon padi ei	đứa trẻ cho cây lúa
mi padi puon liem hmang-ne	người mẹ đã thấy bốn cây lúa đẹp
pa brah-tao hlao-ne	người cha đã tìm những khu rừng
hling mi om-ma	H'Linh không nấu người mẹ
ykrong rong hmang-ne	Y Krông đã thấy cái nhà
plei brah cha-ne	bản làng đã ăn khu rừng
ako hina prong cha	con chó ăn con cá to
hrin dak-tao ei-ma	H'Rin không cho những dòng sông
ybhok ako-tao gu-ma	Y Bhôk không bắt những con chó
bnam pang ngui-ne	ngọn núi đã làm cái nồi
brah rong-tao hmang	khu rừng thấy những cái nhà
hnga padi-tao liem tec-ma	H'Nga không bán những cây lúa đẹp
hling kata pei cha-ne	H'Linh đã ăn ba con gà
mi mi mahe hlao-ma	người mẹ không tìm người mẹ mới
hnga ako liem tec	H'Nga bán con chó đẹp
mi pang poh ngui-ne	người mẹ đã làm năm cái nồi
plei bnam-tao ngui-ne	bản làng đã làm những ngọn núi
hrin dak-tao ei	H'Rin cho những dòng sông
krao miu om	con trâu nấu con mèo
padi pa-tao nhu-ma	cây lúa không uống những người cha
kon brah om-ne-ma	đứa trẻ đã không nấu khu rừng
pang rong-tao ntik nhu	cái nồi uống những cái nhà nhỏ
bnam kata pei krah nhu-ma	ngọn núi không uống ba con gà cũ
hling miu pei krah om	H'Linh nấu ba con mèo cũ
ako miu-tao cha	con chó ăn những con mèo
rong mi ntik om-ne	cái nhà đã nấu người mẹ nhỏ
bnam padi ngui	ngọn núi làm cây lúa
hling plei-tao ei	H'Linh cho những bản làng
kon kata mahe tec	đứa trẻ bán con gà mới
dak kon puon gu-ne	dòng sông đã bắt bốn đứa trẻ
kata ako hlao	con gà tìm con chó
pa rong om-ne-ma	người cha đã không nấu cái nhà
miu dak prong om	con mèo nấu dòng sông to
bnam pang ei	ngọn núi cho cái nồi
ako ako gu	con chó bắt con chó
dak bnam om-ne	dòng sông đã nấu ngọn núi
ybhok mi cha	Y Bhôk ăn người mẹ
yson rong pei krah gu-ma	Y Sơn không bắt ba cái nhà cũ
padi hina om-ne	cây lúa đã nấu con cá
kata pa nhu-ne	con gà đã uống người cha
hrin hina-tao om-ne	H'Rin đã nấu những con cá
dak brah puon cha	dòng sông ăn bốn khu rừng
bnam bok puon prong cha-ne	ngọn núi đã ăn bốn người thầy to
plei miu puon krah cha-ma	bản làng không ăn bốn con mèo cũ
bnam kata pei liem cha-ne	ngọn núi đã ăn ba con gà đẹp
bnam plei prong nhu	ngọn núi uống bản làng to
mi pang nhu-ne-ma	người mẹ đã không uống cái nồi
kon plei ei-ne	đứa trẻ đã cho bản làng
pa pa ei-ne	người cha đã cho người cha
ykrong kata ei-ne	Y Krông đã cho con gà
hina brah pei hmang-ne-ma	con cá đã không thấy ba khu rừng
padi hina puon ngui	cây lúa làm bốn con cá
yson krao-tao ei	Y Sơn cho những con trâu
kata rong bar liem hmang-ma	con gà không thấy hai cái nhà đẹp
padi ako bar ngui-ne	cây lúa đã làm hai con chó
ybhok pa poh prong gu-ne-ma	Y Bhôk đã không bắt năm người cha to
miu rong tuk	con mèo mang cái nhà
plei krao pei ngui-ne	bản làng đã làm ba con trâu
miu plei hlao	con mèo tìm bản làng
rong padi ntik om-ma	cái nhà không nấu cây lúa nhỏ
plei bok prong om	bản làng nấu người thầy to
hrin plei pei krah gu-ne	H'Rin đã bắt ba bản làng cũ
pang kon ntik cha-ne-ma	cái nồi đã không ăn đứa trẻ nhỏ
miu kon-tao tec-ne	con mèo đã bán những đứa trẻ
kata pang nhu	con gà uống cái nồi
hnga brah dua om-ne	H'Nga đã nấu một khu rừng
hnga padi prong hlao-ne	H'Nga đã tìm cây lúa to
kon hina pei tec	đứa trẻ bán ba con cá
padi krao hmang-ne-ma	cây lúa đã không thấy con trâu
pang ako dua ngui-ne	cái nồi đã làm một con chó
hling plei liem hmang-ma	H'Linh không thấy bản làng đẹp
ybhok krao om	Y Bhôk nấu con trâu
padi ako gu-ne	cây lúa đã bắt con chó
yson kata tuk	Y Sơn mang con gà
bok hina puon cha-ne	người thầy đã ăn bốn con cá
ykrong bok liem nhu-ne	Y Krông đã uống người thầy đẹp
ybhok miu-tao ei-ma	Y Bhôk không cho những con mèo
bok dak-tao ngui	người thầy làm những dòng sông
ybhok bok-tao krah hmang	Y Bhôk thấy những người thầy cũ
ybhok plei cha	Y Bhôk ăn bản làng
rong brah dua om-ne	cái nhà đã nấu một khu rừng
padi mi-tao mahe hlao-ne	cây lúa đã tìm những người mẹ mới
hling brah prong om	H'Linh nấu khu rừng to
pa pa-tao om	người cha nấu những người cha
ykrong pang krah hmang	Y Krông thấy cái nồi cũ
ako miu pei om-ma	con chó không nấu ba con mèo
mi mi-tao nhu	người mẹ uống những người mẹ
rong mi mahe gu-ne	cái nhà đã bắt người mẹ mới
hrin plei mahe hmang-ne-ma	H'Rin đã không thấy bản làng mới
dak rong krah cha-ma	dòng sông không ăn cái nhà cũ
ybhok kon ntik tec	Y Bhôk bán đứa trẻ nhỏ
brah plei ntik gu	khu rừng bắt bản làng nhỏ
miu hina gu-ne	con mèo đã bắt con cá
hrin bok pei cha-ne	H'Rin đã ăn ba người thầy
bok brah pei krah ei-ma	người thầy không cho ba khu rừng cũ
dak krao krah om	dòng sông nấu con trâu cũ
ykrong mi-tao hmang-ma	Y Krông không thấy những người mẹ
kata brah liem hmang	con gà thấy khu rừng đẹp
mi bnam gu	người mẹ bắt ngọn núi
bnam kon-tao nhu-ne	ngọn núi đã uống những đứa trẻ
yson bnam liem om-ne	Y Sơn đã nấu ngọn núi đẹp
bnam plei ei-ma	ngọn núi không cho bản làng
mi miu pei liem hlao-ne	người mẹ đã tìm ba con mèo đẹp
ykrong padi-tao cha	Y Krông ăn những cây lúa
kata kata ntik nhu-ne	con gà đã uống con gà nhỏ
ako kon gu	con chó bắt đứa trẻ
hling miu cha	H'Linh ăn con mèo
pang bnam-tao nhu-ne	cái nồi đã uống những ngọn núi
bok rong dua tuk	người thầy mang một cái nhà
hnga pa bar prong gu-ne	H'Nga đã bắt hai người cha to
hrin pa-tao om-ne	H'Rin đã nấu những người cha
hnga ako tuk	H'Nga mang con chó
bok mi-tao mahe cha	người thầy ăn những người mẹ mới
bok bnam ngui	người thầy làm ngọn núi
dak ako tec	dòng sông bán con chó
hnga bok dua prong hmang-ma	H'Nga không thấy một người thầy to
rong bnam-tao nhu	cái nhà uống những ngọn núi
bnam pang bar krah tuk	ngọn núi mang hai cái nồi cũ
mi brah-tao hlao	người mẹ tìm những khu rừng
kon padi-tao mahe tec	đứa trẻ bán những cây lúa mới
ykrong kon pei ntik ngui	Y Krông làm ba đứa trẻ nhỏ
rong ako cha	cái nhà ăn con chó
ykrong krao ntik om-ma	Y Krông không nấu con trâu nhỏ
mi mi ntik tuk-ne	người mẹ đã mang người mẹ nhỏ
kon padi-tao liem ei-ne	đứa trẻ đã cho những cây lúa đẹp
mi ako gu	người mẹ bắt con chó
bok dak gu	người thầy bắt dòng sông
kata dak hmang-ne	con gà đã thấy dòng sông
hnga krao prong nhu	H'Nga uống con trâu to
brah ako ngui	khu rừng làm con chó
mi hina bar gu-ne-ma	người mẹ đã không bắt hai con cá
kata bok-tao ngui-ma	con gà không làm những người thầy
ykrong bok nhu	Y Krông uống người thầy
kon bok prong om-ne	đứa trẻ đã nấu người thầy to
yson brah poh nhu	Y Sơn uống năm khu rừng
krao dak om	con trâu nấu dòng sông
hnga pa poh prong om-ne	H'Nga đã nấu năm người cha to
ykrong bok om-ne	Y Krông đã nấu người thầy
plei bnam poh nhu	bản làng uống năm ngọn núi
yson bnam bar cha-ma	Y Sơn không ăn hai ngọn núi
ykrong bnam-tao krah hlao-ne	Y Krông đã tìm những ngọn núi cũ
hina kata puon nhu	con cá uống bốn con gà
dak brah hmang-ma	dòng sông không thấy khu rừng
hling brah ei	H'Linh cho khu rừng
hnga kata-tao mahe ngui	H'Nga làm những con gà mới
hrin padi ngui	H'Rin làm cây lúa
dak plei hlao	dòng sông tìm bản làng
kon bnam krah tuk-ne	đứa trẻ đã mang ngọn núi cũ
dak kata nhu	dòng sông uống con gà
plei mi gu	bản làng bắt người mẹ
bnam kon ntik nhu-ne	ngọn núi đã uống đứa trẻ nhỏ
hina bok pei liem cha	con cá ăn ba người thầy đẹp
hling miu hmang	H'Linh thấy con mèo
pang kata-tao prong tec	cái nồi bán những con gà to
hina bnam poh tuk-ne	con cá đã mang năm ngọn núi
krao bnam mahe cha	con trâu ăn ngọn núi mới
mi kon ei	người mẹ cho đứa trẻ
hina padi puon tuk	con cá mang bốn cây lúa
kon miu mahe tuk	đứa trẻ mang con mèo mới
krao bnam mahe nhu	con trâu uống ngọn núi mới
kata brah-tao krah nhu	con gà uống những khu rừng cũ
bnam brah bar krah hmang-ne	ngọn núi đã thấy hai khu rừng cũ
ybhok padi om-ne	Y Bhôk đã nấu cây lúa
pang kata hmang	cái nồi thấy con gà
ybhok bnam liem gu	Y Bhôk bắt ngọn núi đẹp
hling bnam cha-ne	H'Linh đã ăn ngọn núi
padi bnam poh mahe hlao-ma	cây lúa không tìm năm ngọn núi mới
yson miu cha-ma	Y Sơn không ăn con mèo
hrin hina krah nhu-ma	H'Rin không uống con cá cũ
bok rong puon tec-ne-ma	người thầy đã không bán bốn cái nhà
hling pang tec-ne	H'Linh đã bán cái nồi
dak kata-tao liem tuk-ne	dòng sông đã mang những con gà đẹp
yson pang dua hlao-ma	Y Sơn không tìm một cái nồi
kata miu-tao nhu-ne	con gà đã uống những con mèo
yson rong dua mahe hmang-ma	Y Sơn không thấy một cái nhà mới
hrin plei om	H'Rin nấu bản làng
krao bnam krah tec-ne	con trâu đã bán ngọn núi cũ
dak mi-tao liem hmang	dòng sông thấy những người mẹ đẹp
rong bnam mahe om	cái nhà nấu ngọn núi mới
bnam mi bar krah ngui-ma	ngọn núi không làm hai người mẹ cũ
yson ako-tao liem nhu-ne	Y Sơn đã uống những con chó đẹp
kon padi-tao gu-ne	đứa trẻ đã bắt những cây lúa
bok brah puon hlao-ma	người thầy không tìm bốn khu rừng
yson bnam-tao hlao-ne	Y Sơn đã tìm những ngọn núi
dak kata hlao-ma	dòng sông không tìm con gà
dak kon pei prong tuk-ne	dòng sông đã mang ba đứa trẻ to
ybhok kata-tao ei	Y Bhôk cho những con gà
ykrong ako ei-ne	Y Krông đã cho con chó
hrin brah-tao ngui	H'Rin làm những khu rừng
pang rong-tao ngui	cái nồi làm những cái nhà
plei pang pei hmang-ne	bản làng đã thấy ba cái nồi
miu rong-tao gu-ma	con mèo không bắt những cái nhà
pa kata nhu-ne	người cha đã uống con gà
miu krao mahe gu-ma	con mèo không bắt con trâu mới
mi kon pei prong cha-ne	người mẹ đã ăn ba đứa trẻ to
ykrong miu liem gu	Y Krông bắt con mèo đẹp
hling krao pei ntik ei-ne	H'Linh đã cho ba con trâu nhỏ
bnam brah pei ei-ne-ma	ngọn núi đã không cho ba khu rừng
hnga bnam-tao cha-ne	H'Nga đã ăn những ngọn núi
pa ako dua cha-ne	người cha đã ăn một con chó
bnam krao hmang	ngọn núi thấy con trâu
yson kata pei liem gu	Y Sơn bắt ba con gà đẹp
brah brah ngui-ne	khu rừng đã làm khu rừng
bnam bnam liem hlao	ngọn núi tìm ngọn núi đẹp
hrin kata pei ngui	H'Rin làm ba con gà
ybhok dak-tao mahe cha-ne	Y Bhôk đã ăn những dòng sông mới
miu kata tec	con mèo bán con gà
hina rong liem gu-ma	con cá không bắt cái nhà đẹp
kata kata-tao hmang	con gà thấy những con gà
padi kata tec	cây lúa bán con gà
dak bnam prong nhu	dòng sông uống ngọn núi to
mi pang bar mahe om-ne	người mẹ đã nấu hai cái nồi mới
hnga dak dua hlao	H'Nga tìm một dòng sông
kon pang-tao ntik om-ne	đứa trẻ đã nấu những cái nồi nhỏ
miu ako ei-ne-ma	con mèo đã không cho con chó
kon pa krah cha	đứa trẻ ăn người cha cũ
hrin ako dua mahe hmang-ne	H'Rin đã thấy một con chó mới
hling krao tuk-ne	H'Linh đã mang con trâu
hrin mi hlao	H'Rin tìm người mẹ
krao brah poh liem hmang-ne	con trâu đã thấy năm khu rừng đẹp
ybhok rong ntik nhu-ma	Y Bhôk không uống cái nhà nhỏ
hnga bnam poh ntik ngui	H'Nga làm năm ngọn núi nhỏ
rong miu-tao tuk	cái nhà mang những con mèo
hrin padi prong hmang	H'Rin thấy cây lúa to
miu rong hlao	con mèo tìm cái nhà
pang pa hmang	cái nồi thấy người cha
pa plei pei hlao	người cha tìm ba bản làng
hling plei om	H'Linh nấu bản làng
hling rong hmang-ma	H'Linh không thấy cái nhà
dak krao-tao tec	dòng sông bán những con trâu
hrin mi dua liem ei-ne	H'Rin đã cho một người mẹ đẹp
hina dak puon tec-ma	con cá không bán bốn dòng sông
miu rong dua krah ngui-ne	con mèo đã làm một cái nhà cũ
bnam krao-tao krah ngui	ngọn núi làm những con trâu cũ
ykrong rong-tao cha-ne-ma	Y Krông đã không ăn những cái nhà
mi brah poh ngui	người mẹ làm năm khu rừng
hling krao puon krah hmang-ne	H'Linh đã thấy bốn con trâu cũ
rong rong om	cái nhà nấu cái nhà
krao dak-tao krah tuk	con trâu mang những dòng sông cũ
ako brah ntik gu-ne	con chó đã bắt khu rừng nhỏ
ybhok krao-tao hmang-ma	Y Bhôk không thấy những con trâu
kata brah tec-ne	con gà đã bán khu rừng
dak kata pei hlao-ne-ma	dòng sông đã không tìm ba con gà
mi hina tuk-ne	người mẹ đã mang con cá
krao dak bar prong gu-ma	con trâu không bắt hai dòng sông to
bok miu tec	người thầy bán con mèo
miu kata-tao gu-ne	con mèo đã bắt những con gà
yson miu dua ngui	Y Sơn làm một con mèo
mi rong ngui	người mẹ làm cái nhà
kata plei-tao cha	con gà ăn những bản làng
hnga bok om-ne	H'Nga đã nấu người thầy
ykrong kata poh om-ma	Y Krông không nấu năm con gà
hnga kon-tao ngui	H'Nga làm những đứa trẻ
hnga plei-tao ntik nhu	H'Nga uống những bản làng nhỏ
hnga pang hlao-ma	H'Nga không tìm cái nồi
hnga kon ntik hlao-ma	H'Nga không tìm đứa trẻ nhỏ
yson miu bar tuk	Y Sơn mang hai con mèo
pa bnam mahe om	người cha nấu ngọn núi mới
brah bok ntik cha-ne	khu rừng đã ăn người thầy nhỏ
ybhok pang om	Y Bhôk nấu cái nồi
hnga rong krah tuk	H'Nga mang cái nhà cũ
yson pang hmang	Y Sơn thấy cái nồi
dak padi poh om	dòng sông nấu năm cây lúa
hnga kata dua mahe cha-ne	H'Nga đã ăn một con gà mới
bok mi ngui	người thầy làm người mẹ
ybhok rong liem nhu	Y Bhôk uống cái nhà đẹp
kon pa cha	đứa trẻ ăn người cha
ako kon poh prong ei	con chó cho năm đứa trẻ to
mi dak hmang	người mẹ thấy dòng sông
hnga plei liem hmang-ne	H'Nga đã thấy bản làng đẹp
pa miu-tao liem gu	người cha bắt những con mèo đẹp
ybhok mi liem gu	Y Bhôk bắt người mẹ đẹp
brah kon ngui-ne	khu rừng đã làm đứa trẻ
yson padi-tao krah tec-ne	Y Sơn đã bán những cây lúa cũ
bnam rong puon om	ngọn núi nấu bốn cái nhà
hrin miu gu-ne	H'Rin đã bắt con mèo
padi hina-tao gu	cây lúa bắt những con cá
bok mi krah tec	người thầy bán người mẹ cũ
bok mi-tao gu	người thầy bắt những người mẹ
mi bnam nhu-ne	người mẹ đã uống ngọn núi
kon mi-tao mahe tec	đứa trẻ bán những người mẹ mới
rong hina bar prong cha-ne	cái nhà đã ăn hai con cá to
brah padi-tao liem nhu	khu rừng uống những cây lúa đẹp
hrin miu puon hmang-ne	H'Rin đã thấy bốn con mèo
pa padi-tao cha	người cha ăn những cây lúa
miu miu ngui-ne	con mèo đã làm con mèo
bok hina mahe ngui-ne	người thầy đã làm con cá mới
bok brah prong gu-ne	người thầy đã bắt khu rừng to
hling krao om-ne	H'Linh đã nấu con trâu
rong ako-tao liem hmang-ma	cái nhà không thấy những con chó đẹp
ybhok ako-tao ntik hmang	Y Bhôk thấy những con chó nhỏ
krao rong pei mahe om	con trâu nấu ba cái nhà mới
miu ako tuk-ne	con mèo đã mang con chó
bnam pa ei	ngọn núi cho người cha
plei padi prong tec-ne-ma	bản làng đã không bán cây lúa to
kon mi pei krah nhu-ne	đứa trẻ đã uống ba người mẹ cũ
mi dak tec-ne	người mẹ đã bán dòng sông
padi ako pei ei-ne	cây lúa đã cho ba con chó
rong padi krah hlao	cái nhà tìm cây lúa cũ
hnga krao-tao krah hmang	H'Nga thấy những con trâu cũ
ykrong bok ngui	Y Krông làm người thầy
ako mi-tao cha-ne	con chó đã ăn những người mẹ
bnam rong poh ei	ngọn núi cho năm cái nhà
krao rong ei	con trâu cho cái nhà
yson brah gu-ne	Y Sơn đã bắt khu rừng
brah brah ei	khu rừng cho khu rừng
dak bok-tao om-ma	dòng sông không nấu những người thầy
bok brah tec-ne-ma	người thầy đã không bán khu rừng
rong krao gu-ne	cái nhà đã bắt con trâu
hling bok poh hlao-ne	H'Linh đã tìm năm người thầy
dak brah hmang-ne	dòng sông đã thấy khu rừng
mi kon ngui	người mẹ làm đứa trẻ
hina miu puon gu	con cá bắt bốn con mèo
ykrong plei-tao mahe hlao	Y Krông tìm những bản làng mới
bok plei om-ne	người thầy đã nấu bản làng
ykrong brah-tao om-ne-ma	Y Krông đã không nấu những khu rừng
mi mi tuk-ne	người mẹ đã mang người mẹ
rong ako krah ei	cái nhà cho con chó cũ
ykrong miu puon nhu	Y Krông uống bốn con mèo
ykrong ako bar om-ne-ma	Y Krông đã không nấu hai con chó
mi miu-tao nhu	người mẹ uống những con mèo
bok miu pei cha	người thầy ăn ba con mèo
dak kon ngui	dòng sông làm đứa trẻ
brah miu krah hlao-ne-ma	khu rừng đã không tìm con mèo cũ
hrin plei-tao mahe nhu	H'Rin uống những bản làng mới
bnam mi om	ngọn núi nấu người mẹ
padi hina hlao-ne	cây lúa đã tìm con cá
brah kon-tao tec	khu rừng bán những đứa trẻ
bnam miu-tao tec-ne	ngọn núi đã bán những con mèo
bok plei dua krah hmang	người thầy thấy một bản làng cũ
rong brah krah ngui-ne	cái nhà đã làm khu rừng cũ
mi krao pei prong cha-ma	người mẹ không ăn ba con trâu to
plei hina poh gu	bản làng bắt năm con cá
yson pa hlao	Y Sơn tìm người cha
pang kon gu-ne	cái nồi đã bắt đứa trẻ
pang pang pei nhu-ne	cái nồi đã uống ba cái nồi
brah bnam mahe ei-ne	khu rừng đã cho ngọn núi mới
kata dak poh om-ma	con gà không nấu năm dòng sông
hnga mi-tao nhu-ne	H'Nga đã uống những người mẹ
rong pang-tao ntik hmang	cái nhà thấy những cái nồi nhỏ
dak hina liem tuk-ne	dòng sông đã mang con cá đẹp
kata ako bar mahe ei	con gà cho hai con chó mới
ykrong brah ntik nhu	Y Krông uống khu rừng nhỏ
kata padi-tao ei	con gà cho những cây lúa
plei mi ntik tec	bản làng bán người mẹ nhỏ
hling brah hlao	H'Linh tìm khu rừng
ako hina krah hmang	con chó thấy con cá cũ
dak kon om-ne-ma	dòng sông đã không nấu đứa trẻ
hnga bok tuk-ne	H'Nga đã mang người thầy
bnam pa-tao liem hmang-ne	ngọn núi đã thấy những người cha đẹp
ykrong ako-tao hmang	Y Krông thấy những con chó
hrin dak puon ei	H'Rin cho bốn dòng sông
padi pang cha	cây lúa ăn cái nồi
ykrong plei-tao tec-ma	Y Krông không bán những bản làng
